timestamp,year,month,day,hour,minute,second,latitude,longitude,altitude_msl,altitude_ellipsoid,horizontal_accuracy,vertical_accuracy,fix_type,carrier_solution,num_satellites,pDOP,speed_2d,heading,vel_north,vel_east,vel_down,flags,source
66.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
67.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
68.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
69.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
70.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
71.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
72.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
73.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
74.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
75.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
76.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
77.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
78.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
79.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
80.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.128,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
81.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
82.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
83.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
84.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
85.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
86.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
87.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
88.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
89.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
